arrest,beat,block,community_area,description,district,domestic,fbi_code,iucr,location_description,location_type,primary_type,ward,year
TRUE,111,0000X E 100TH PL,1,$500 AND UNDER,1,TRUE,02,0110,ABANDONED BUILDING,Point,ARSON,1,2016
FALSE,112,0000X E 100TH ST,2,ABUSE/NEGLECT: CARE FACILITY,2,FALSE,03,0130,AIRCRAFT,,ASSAULT,2,
,113,0000X E 101ST PL,3,AGG CRIM SEX ABUSE FAM MEMBER,3,,05,0141,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,,BATTERY,3,
,114,0000X E 101ST ST,4,AGG CRIMINAL SEXUAL ABUSE,4,,06,0142,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,,BURGLARY,4,
,121,0000X E 102ND PL,5,AGG PO HANDS ETC SERIOUS INJ,5,,07,0261,AIRPORT EXTERIOR - NON-SECURE AREA,,CONCEALED CARRY LICENSE VIOLATION,5,
,122,0000X E 102ND ST,6,AGG PO HANDS NO/MIN INJURY,6,,09,0262,AIRPORT EXTERIOR - SECURE AREA,,CRIM SEXUAL ASSAULT,6,
,123,0000X E 103RD PL,7,AGG PRO EMP HANDS SERIOUS INJ,7,,10,0263,AIRPORT PARKING LOT,,CRIMINAL DAMAGE,7,
,124,0000X E 103RD ST,8,AGG PRO.EMP: HANDGUN,8,,11,0264,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,,CRIMINAL TRESPASS,8,
,131,0000X E 104TH ST,9,AGG PRO.EMP: OTHER DANG WEAPON,9,,12,0265,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,,DECEPTIVE PRACTICE,9,
,132,0000X E 105TH ST,10,AGG PRO.EMP: OTHER FIREARM,10,,13,0266,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,,GAMBLING,10,
,133,0000X E 107TH ST,11,AGG PRO.EMP:KNIFE/CUTTING INST,11,,14,0271,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,,HOMICIDE,11,
,211,0000X E 108TH ST,12,AGG SEX ASSLT OF CHILD FAM MBR,12,,15,0272,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,,HUMAN TRAFFICKING,12,
,212,0000X E 109TH ST,13,AGG: HANDS/FIST/FEET NO/MINOR INJURY,14,,16,0273,AIRPORT TRANSPORTATION SYSTEM (ATS),,INTERFERENCE WITH PUBLIC OFFICER,13,
,213,0000X E 110TH PL,14,AGG: HANDS/FIST/FEET SERIOUS INJURY,15,,17,0274,AIRPORT VENDING ESTABLISHMENT,,INTIMIDATION,14,
,214,0000X E 110TH ST,15,AGGRAVATED,16,,18,0275,AIRPORT/AIRCRAFT,,KIDNAPPING,15,
,215,0000X E 111TH PL,16,AGGRAVATED COMPUTER TAMPERING,17,,19,0281,ALLEY,,LIQUOR LAW VIOLATION,16,
,221,0000X E 111TH ST,17,AGGRAVATED DOMESTIC BATTERY: HANDGUN,18,,20,0291,ANIMAL HOSPITAL,,MOTOR VEHICLE THEFT,17,
,222,0000X E 112TH PL,18,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,19,,22,0312,APARTMENT,,NARCOTICS,18,
,223,0000X E 112TH ST,19,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,20,,24,0313,APPLIANCE STORE,,NON - CRIMINAL,19,
,224,0000X E 113TH PL,20,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,22,,26,0320,ATHLETIC CLUB,,NON-CRIMINAL,20,
,225,0000X E 113TH ST,21,AGGRAVATED FINANCIAL IDENTITY THEFT,24,,01A,0325,ATM (AUTOMATIC TELLER MACHINE),,NON-CRIMINAL (SUBJECT SPECIFIED),21,
,231,0000X E 114TH PL,22,AGGRAVATED OF A CHILD,25,,01B,0326,AUTO,,OBSCENITY,22,
,232,0000X E 114TH ST,23,AGGRAVATED OF A SENIOR CITIZEN,31,,04A,0330,BANK,,OFFENSE INVOLVING CHILDREN,23,
,233,0000X E 115TH ST,24,AGGRAVATED PO: HANDGUN,,,04B,0331,BAR OR TAVERN,,OTHER NARCOTIC VIOLATION,24,
,234,0000X E 116TH ST,25,AGGRAVATED PO: KNIFE/CUT INSTR,,,08A,0334,BARBER SHOP/BEAUTY SALON,,OTHER OFFENSE,25,
,235,0000X E 117TH PL,26,AGGRAVATED PO: OTHER DANG WEAP,,,08B,0337,BARBERSHOP,,PROSTITUTION,26,
,311,0000X E 117TH ST,27,AGGRAVATED PO: OTHER FIREARM,,,,0340,BOAT/WATERCRAFT,,PUBLIC INDECENCY,27,
,312,0000X E 118TH PL,28,AGGRAVATED PO:KNIFE/CUT INSTR,,,,0420,BOWLING ALLEY,,PUBLIC PEACE VIOLATION,28,
,313,0000X E 118TH ST,29,AGGRAVATED VEHICULAR HIJACKING,,,,0430,BRIDGE,,ROBBERY,29,
,314,0000X E 119TH PL,30,AGGRAVATED: HANDGUN,,,,0440,CAR WASH,,SEX OFFENSE,30,
,321,0000X E 119TH ST,31,AGGRAVATED: KNIFE/CUT INSTR,,,,0450,CEMETARY,,STALKING,31,
,322,0000X E 11TH ST,32,AGGRAVATED: OTHER,,,,0451,CHA APARTMENT,,THEFT,32,
,323,0000X E 120TH PL,33,AGGRAVATED: OTHER DANG WEAPON,,,,0452,CHA HALLWAY/STAIRWELL/ELEVATOR,,WEAPONS VIOLATION,33,
,324,0000X E 120TH ST,34,AGGRAVATED: OTHER FIREARM,,,,0453,CHA PARKING LOT,,,34,
,331,0000X E 121ST PL,35,AGGRAVATED:KNIFE/CUTTING INSTR,,,,0454,CHA PARKING LOT/GROUNDS,,,35,
,332,0000X E 121ST ST,36,ALTER/FORGE PRESCRIPTION,,,,0460,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,,,36,
,333,0000X E 122ND PL,37,ANIMAL ABUSE/NEGLECT,,,,0461,CLEANERS/LAUNDROMAT,,,37,
,334,0000X E 123RD ST,38,ARMED WHILE UNDER THE INFLUENCE,,,,0462,CLEANING STORE,,,38,
,411,0000X E 124TH PL,39,ARMED: HANDGUN,,,,0470,COIN OPERATED MACHINE,,,39,
,412,0000X E 124TH ST,40,ARMED: OTHER DANGEROUS WEAPON,,,,0475,COLLEGE/UNIVERSITY GROUNDS,,,40,
,413,0000X E 125TH PL,41,ARMED: OTHER FIREARM,,,,0479,COLLEGE/UNIVERSITY RESIDENCE HALL,,,41,
,414,0000X E 126TH ST,42,ARMED:KNIFE/CUTTING INSTRUMENT,,,,0480,COMMERCIAL / BUSINESS OFFICE,,,42,
,421,0000X E 127TH ST,43,ARSON THREAT,,,,0481,CONSTRUCTION SITE,,,43,
,422,0000X E 13TH ST,44,ARSONIST: ANNUAL REGISTRATION,,,,0482,CONVENIENCE STORE,,,44,
,423,0000X E 14TH PL,45,ATT AGG CRIMINAL SEXUAL ABUSE,,,,0483,CREDIT UNION,,,45,
,424,0000X E 16TH ST,46,ATT CRIM SEXUAL ABUSE,,,,0484,"CTA ""L"" TRAIN",,,46,
,431,0000X E 18TH ST,47,ATT: AUTOMOBILE,,,,0485,CTA BUS,,,47,
,432,0000X E 21ST ST,48,"ATT: TRUCK, BUS, MOTOR HOME",,,,0486,CTA BUS STOP,,,48,
,433,0000X E 23RD ST,49,ATTEMPT - FINANCIAL IDENTITY THEFT,,,,0487,CTA GARAGE / OTHER PROPERTY,,,49,
,434,0000X E 24TH PL,50,ATTEMPT AGG: HANDGUN,,,,0488,CTA PLATFORM,,,50,
,511,0000X E 26TH ST,51,ATTEMPT AGG: KNIFE/CUT INSTR,,,,0489,CTA STATION,,,,
,512,0000X E 29TH ST,52,ATTEMPT AGG: OTHER,,,,0490,CTA TRACKS - RIGHT OF WAY,,,,
,513,0000X E 31ST ST,53,ATTEMPT AGG: OTHER DANG WEAPON,,,,0491,CTA TRAIN,,,,
,522,0000X E 32ND ST,54,ATTEMPT AGG: OTHER FIREARM,,,,0492,CURRENCY EXCHANGE,,,,
,523,0000X E 35TH ST,55,ATTEMPT ARSON,,,,0493,DAY CARE CENTER,,,,
,524,0000X E 36TH PL,56,ATTEMPT FORCIBLE ENTRY,,,,0494,DEPARTMENT STORE,,,,
,531,0000X E 36TH ST,57,ATTEMPT NON-AGGRAVATED,,,,0495,DRIVEWAY,,,,
,532,0000X E 37TH PL,58,ATTEMPT POSSESSION NARCOTICS,,,,0496,DRIVEWAY - RESIDENTIAL,,,,
,533,0000X E 37TH ST,59,ATTEMPT THEFT,,,,0497,DRUG STORE,,,,
,611,0000X E 42ND ST,60,ATTEMPT: AGGRAVATED,,,,0498,ELEVATOR,,,,
,612,0000X E 43RD ST,61,ATTEMPT: ARMED-HANDGUN,,,,0510,EXPRESSWAY EMBANKMENT,,,,
,613,0000X E 46TH ST,62,ATTEMPT: ARMED-KNIFE/CUT INSTR,,,,0520,FACTORY/MANUFACTURING BUILDING,,,,
,614,0000X E 47TH ST,63,ATTEMPT: ARMED-OTHER DANG WEAP,,,,0530,FEDERAL BUILDING,,,,
,621,0000X E 48TH ST,64,ATTEMPT: ARMED-OTHER FIREARM,,,,0545,FIRE STATION,,,,
,622,0000X E 50TH ST,65,"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",,,,0550,FOREST PRESERVE,,,,
,623,0000X E 51ST ST,66,ATTEMPT: STRONGARM-NO WEAPON,,,,0551,GANGWAY,,,,
,624,0000X E 53RD ST,67,AUTOMOBILE,,,,0552,GARAGE,,,,
,631,0000X E 54TH ST,68,BOARD PLANE WITH WEAPON,,,,0553,GAS STATION,,,,
,632,0000X E 56TH ST,69,BOGUS CHECK,,,,0554,GOVERNMENT BUILDING/PROPERTY,,,,
,633,0000X E 57TH ST,70,BOMB THREAT,,,,0555,GROCERY FOOD STORE,,,,
,634,0000X E 58TH ST,71,BRIBERY,,,,0556,HALLWAY,,,,
,711,0000X E 59TH ST,72,BY FIRE,,,,0557,HIGHWAY/EXPRESSWAY,,,,
,712,0000X E 60TH ST,73,CALL OPERATION,,,,0558,HOSPITAL,,,,
,713,0000X E 61ST ST,74,CANNABIS PLANT,,,,0560,HOSPITAL BUILDING/GROUNDS,,,,
,714,0000X E 63RD ST,75,CHILD ABANDONMENT,,,,0580,HOTEL,,,,
,715,0000X E 66TH ST,76,CHILD ABDUCTION,,,,0581,HOTEL/MOTEL,,,,
,722,0000X E 68TH ST,77,CHILD ABDUCTION/STRANGER,,,,0583,HOUSE,,,,
,723,0000X E 69TH ST,,CHILD ABUSE,,,,0584,JAIL / LOCK-UP FACILITY,,,,
,724,0000X E 70TH ST,,CHILD PORNOGRAPHY,,,,0610,LAKEFRONT/WATERFRONT/RIVERBANK,,,,
,725,0000X E 71ST ST,,COMMERCIAL SEX ACTS,,,,0620,LAUNDRY ROOM,,,,
,726,0000X E 72ND ST,,COMPUTER FRAUD,,,,0630,LIBRARY,,,,
,731,0000X E 73RD ST,,CONCEALING/AIDING A FUGITIVE,,,,0650,MEDICAL/DENTAL OFFICE,,,,
,732,0000X E 74TH ST,,CONT SUBS:FAIL TO MAINT RECORD,,,,0810,MOVIE HOUSE/THEATER,,,,
,733,0000X E 75TH ST,,CONTRIBUTE CRIM DELINQUENCY JUVENILE,,,,0820,NEWSSTAND,,,,
,734,0000X E 76TH ST,,CONTRIBUTE DELINQUENCY OF A CHILD,,,,0850,NURSING HOME,,,,
