topic, weight, term
0, 0.020, u
0, 0.013, november
0, 0.012, 7
0, 0.012, coffee
0, 0.010, and…
0, 0.010, amp
0, 0.010, believe
0, 0.010, family
0, 0.009, post
0, 0.009, come
1, 0.100, park
1, 0.041, chicago
1, 0.033, north
1, 0.023, avenue
1, 0.022, halloween
1, 0.017, oak
1, 0.013, lincoln
1, 0.013, weather
1, 0.012, sky
1, 0.011, millennium
2, 0.108, job
2, 0.070, hiring
2, 0.068, il
2, 0.056, chicago
2, 0.052, latest
2, 0.041, were
2, 0.039, click
2, 0.039, opening
2, 0.031, careerarc
2, 0.029, work
3, 0.036, drinking
3, 0.034, —
3, 0.014, champion
3, 0.013, never
3, 0.012, well
3, 0.012, ive
3, 0.012, know
3, 0.011, america
3, 0.011, history
3, 0.009, done
4, 0.052, world
4, 0.038, series
4, 0.033, west
4, 0.022, avenue
4, 0.016, take
4, 0.015, back
4, 0.013, always
4, 0.012, going
4, 0.012, love
4, 0.011, like
5, 0.094, great
5, 0.073, job
5, 0.073, fit
5, 0.065, il
5, 0.056, hiring
5, 0.056, chicago
5, 0.050, you
5, 0.040, could
5, 0.040, might
5, 0.035, careerarc
6, 0.111, cub
6, 0.062, field
6, 0.054, wrigley
6, 0.046, chicago
6, 0.040, flythew
6, 0.036, go
6, 0.026, gt
6, 0.025, worldseries
6, 0.023, gocubsgo
6, 0.018, wrigleyville
7, 0.016, time
7, 0.016, transportation
7, 0.016, part
7, 0.016, class
7, 0.016, studio
7, 0.013, woman
7, 0.012, support
7, 0.012, old
7, 0.012, full
7, 0.011, driver
8, 0.033, day
8, 0.017, still
8, 0.017, people
8, 0.017, amp
8, 0.015, one
8, 0.013, soldier
8, 0.013, it
8, 0.012, •
8, 0.012, need
8, 0.011, friend
9, 0.024, year
9, 0.019, election
9, 0.018, street
9, 0.016, voted
9, 0.015, election2016
9, 0.015, life
9, 0.014, line
9, 0.014, favorite
9, 0.013, 108
9, 0.011, mile
10, 0.114, chicago
10, 0.055, international
10, 0.041, il
10, 0.031, airport
10, 0.030, ohare
10, 0.020, im
10, 0.018, la
10, 0.014, chicagotech
10, 0.013, developer
10, 0.012, de
11, 0.150, il
11, 0.130, chicago
11, 0.084, im
11, 0.055, job
11, 0.049, hiring
11, 0.044, anyone
11, 0.043, recommend
11, 0.035, careerarc
11, 0.028, check
11, 0.027, youre
12, 0.028, right
12, 0.024, chicago…
12, 0.020, chicago
12, 0.014, next
12, 0.013, got
12, 0.012, room
12, 0.011, 4
12, 0.010, new
12, 0.010, finally
12, 0.010, now
13, 0.023, hair
13, 0.022, thank
13, 0.018, much
13, 0.014, god
13, 0.012, dog
13, 0.010, stylist
13, 0.009, dinner
13, 0.008, electionday
13, 0.008, came
13, 0.007, lounge
14, 0.052, night
14, 0.036, last
14, 0.017, win
14, 0.013, house
14, 0.011, week
14, 0.011, live
14, 0.010, club
14, 0.009, repost
14, 0.009, first
14, 0.009, saturday
15, 0.092, chicago
15, 0.049, photo
15, 0.045, posted
15, 0.035, vote
15, 0.027, trump
15, 0.020, hotel
15, 0.017, beautiful
15, 0.017, amp
15, 0.017, city
15, 0.013, school
16, 0.031, center
16, 0.023, grant
16, 0.020, parade
16, 0.016, united
16, 0.015, fan
16, 0.014, chicago
16, 0.012, available
16, 0.012, really
16, 0.011, square
16, 0.010, protest
17, 0.024, 2016
17, 0.019, thanks
17, 0.013, 2
17, 0.011, amp
17, 0.011, think
17, 0.008, lot
17, 0.008, pretty
17, 0.008, later
17, 0.008, gonna
17, 0.008, way
18, 0.024, happy
18, 0.021, rt
18, 0.020, tonight
18, 0.012, 😍😍😍
18, 0.012, cant
18, 0.012, day
18, 0.011, birthday
18, 0.010, best
18, 0.010, weekend
18, 0.009, little
19, 0.187, chicago
19, 0.077, illinois
19, 0.021, at
19, 0.020, il
19, 0.018, side
19, 0.015, downtown
19, 0.012, let
19, 0.010, ready
19, 0.010, home
19, 0.009, west
